Team,Down,Distance Bucket,Play Type,2022 %,2023 %,2024 %,2022→2023 Change,2023→2024 Change
DEN,1,medium,Pass,36.4%,58.3%,30.8%,22.0 %,-27.6 %
DEN,1,medium,Run,63.6%,41.7%,69.2%,-22.0 %,27.6 %
DEN,1,short,Pass,40.0%,33.3%,40.0%,-6.7 %,6.7 %
DEN,1,short,Run,60.0%,66.7%,60.0%,6.7 %,-6.7 %
DEN,1,very long,Pass,72.2%,47.1%,45.0%,-25.2 %,-2.1 %
DEN,1,very long,Run,27.8%,52.9%,55.0%,25.2 %,2.1 %
DEN,2,long,Pass,56.6%,60.5%,66.1%,3.8 %,5.6 %
DEN,2,long,Run,43.4%,39.5%,33.9%,-3.8 %,-5.6 %
DEN,2,medium,Pass,57.8%,52.7%,49.6%,-5.2 %,-3.1 %
DEN,2,medium,Run,42.2%,47.3%,50.4%,5.2 %,3.1 %
DEN,2,short,Pass,34.0%,34.8%,31.6%,0.8 %,-3.2 %
DEN,2,short,Run,66.0%,65.2%,68.4%,-0.8 %,3.2 %
DEN,2,very long,Pass,74.2%,79.5%,81.1%,5.3 %,1.6 %
DEN,2,very long,Run,25.8%,20.5%,18.9%,-5.3 %,-1.6 %
DEN,3,long,Pass,93.3%,88.4%,86.7%,-5.0 %,-1.7 %
DEN,3,long,Run,6.7%,11.6%,13.3%,5.0 %,1.7 %
DEN,3,medium,Pass,81.5%,85.5%,84.9%,3.9 %,-0.6 %
DEN,3,medium,Run,18.5%,14.5%,15.1%,-3.9 %,0.6 %
DEN,3,short,Pass,49.1%,37.5%,54.8%,-11.6 %,17.3 %
DEN,3,short,Run,50.9%,62.5%,45.2%,11.6 %,-17.3 %
DEN,3,very long,Pass,86.0%,75.6%,91.3%,-10.4 %,15.7 %
DEN,3,very long,Run,14.0%,24.4%,8.7%,10.4 %,-15.7 %
DEN,4,long,Pass,80.0%,100.0%,100.0%,20.0 %,0.0 %
DEN,4,long,Run,20.0%,0.0%,0.0%,-20.0 %,0.0 %
DEN,4,medium,Pass,75.0%,nan%,75.0%,nan %,nan %
DEN,4,medium,Run,25.0%,nan%,25.0%,nan %,nan %
DEN,4,short,Pass,42.9%,29.4%,60.0%,-13.4 %,30.6 %
DEN,4,short,Run,57.1%,70.6%,40.0%,13.4 %,-30.6 %
DEN,4,very long,Pass,100.0%,100.0%,100.0%,0.0 %,0.0 %
DEN,4,very long,Run,0.0%,0.0%,0.0%,0.0 %,0.0 %
DET,1,long,Pass,50.0%,50.6%,46.0%,0.6 %,-4.6 %
DET,1,long,Run,50.0%,49.4%,54.0%,-0.6 %,4.6 %
DET,1,medium,Pass,26.7%,9.5%,38.1%,-17.1 %,28.6 %
DET,1,medium,Run,73.3%,90.5%,61.9%,17.1 %,-28.6 %
DET,1,short,Pass,29.4%,20.0%,35.3%,-9.4 %,15.3 %
DET,1,short,Run,70.6%,80.0%,64.7%,9.4 %,-15.3 %
DET,1,very long,Pass,54.5%,53.3%,40.0%,-1.2 %,-13.3 %
DET,1,very long,Run,45.5%,46.7%,60.0%,1.2 %,13.3 %
DET,2,long,Pass,56.4%,62.4%,60.6%,6.0 %,-1.8 %
DET,2,long,Run,43.6%,37.6%,39.4%,-6.0 %,1.8 %
DET,2,medium,Pass,50.8%,50.7%,48.8%,-0.1 %,-2.0 %
DET,2,medium,Run,49.2%,49.3%,51.2%,0.1 %,2.0 %
DET,2,short,Pass,53.2%,49.4%,42.1%,-3.8 %,-7.3 %
DET,2,short,Run,46.8%,50.6%,57.9%,3.8 %,7.3 %
DET,2,very long,Pass,78.0%,81.5%,77.6%,3.4 %,-3.9 %
DET,2,very long,Run,22.0%,18.5%,22.4%,-3.4 %,3.9 %
DET,3,long,Pass,87.5%,90.2%,86.7%,2.7 %,-3.5 %
DET,3,long,Run,12.5%,9.8%,13.3%,-2.7 %,3.5 %
DET,3,medium,Pass,76.6%,80.2%,76.1%,3.7 %,-4.2 %
DET,3,medium,Run,23.4%,19.8%,23.9%,-3.7 %,4.2 %
DET,3,short,Pass,53.4%,50.6%,52.1%,-2.8 %,1.4 %
DET,3,short,Run,46.6%,49.4%,47.9%,2.8 %,-1.4 %
DET,3,very long,Pass,82.5%,85.0%,91.7%,2.5 %,6.7 %
DET,3,very long,Run,17.5%,15.0%,8.3%,-2.5 %,-6.7 %
DET,4,long,Pass,66.7%,100.0%,100.0%,33.3 %,0.0 %
DET,4,long,Run,33.3%,0.0%,0.0%,-33.3 %,0.0 %
DET,4,medium,Pass,100.0%,81.8%,66.7%,-18.2 %,-15.2 %
